Skver,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,pm25,41.6,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,so2,36.4,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
US Diplomatic Post: Sarajevo,Sarajevo,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,pm25,57,µg/m³,43.856667,18.398205,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
Lukavac,Lukavac,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,so2,21.1,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,no2,46.8,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,no2,56.4,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Manama,N/A,BA,2020-02-14T17:00:00.000Z,2020-02-14T20:00:00+03:00,pm25,18,µg/m³,26.204697,50.570833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""U.S. Department of State Bahrain - Manama""}]"
Živinice,Živinice,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,o3,12.6,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Manama,N/A,BA,2020-02-14T17:00:00.000Z,2020-02-14T20:00:00+03:00,o3,0.043,ppm,26.204697,50.570833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""U.S. Department of State Bahrain - Manama""}]"
Živinice,Živinice,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,so2,194.9,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,o3,15.1,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,no2,23,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T17:00:00.000Z,2020-02-14T18:00:00+01:00,so2,35.5,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,co,988,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,no2,41,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,so2,112.3,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,9.9,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,o3,17.4,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,o3,32.8,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,no2,24.2,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,16.6,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,co,1062,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Manama,N/A,BA,2020-02-14T16:00:00.000Z,2020-02-14T19:00:00+03:00,pm25,18,µg/m³,26.204697,50.570833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""U.S. Department of State Bahrain - Manama""}]"
Skver,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,o3,25.1,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,co,2204,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,no2,29.5,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,so2,24,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,no2,67.3,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Lukavac,Lukavac,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,so2,21.3,µg/m³,44.5333027777778,18.5348916666667,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,14.7,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,o3,52.8,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,30.4,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,co,691,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,o3,17.7,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,so2,36.8,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Manama,N/A,BA,2020-02-14T16:00:00.000Z,2020-02-14T19:00:00+03:00,o3,0.039,ppm,26.204697,50.570833,"[{""name"":""US EPA AirNow"",""url"":""http://www.airnow.gov/""},{""name"":""U.S. Department of State Bahrain - Manama""}]"
Živinice,Živinice,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,co,1239,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Skver,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,no2,40.3,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
US Diplomatic Post: Sarajevo,Sarajevo,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,30,µg/m³,43.856667,18.398205,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
Skver,Tuzla,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,so2,27.3,µg/m³,44.5408333333333,18.6733333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Živinice,Živinice,BA,2020-02-14T16:00:00.000Z,2020-02-14T17:00:00+01:00,pm25,30.4,µg/m³,44.4538888888889,18.6483333333333,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,o3,50.7,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,pm25,10.4,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,no2,29.1,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,o3,30.2,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
Bukinje,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,so2,37.3,µg/m³,44.5236111111111,18.6002777777778,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,pm25,26.4,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,co,682,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
BKC,Tuzla,BA,2020-02-14T15:00:00.000Z,2020-02-14T16:00:00+01:00,no2,36.6,µg/m³,44.5319444444444,18.6547222222222,"[{""name"":""Tuzlanski Kanton"",""url"":""http://monitoringzrakatk.info""}]"
